station,date,prcp,tobs,Month,Year
USC00519397,1/1/10,0.08,65,1,2010
USC00519397,1/2/10,0,63,1,2010
USC00519397,1/3/10,0,74,1,2010
USC00519397,1/4/10,0,76,1,2010
USC00519397,1/6/10,0,73,1,2010
USC00519397,1/7/10,0.06,70,1,2010
USC00519397,1/8/10,0,64,1,2010
USC00519397,1/9/10,0,68,1,2010
USC00519397,1/10/10,0,73,1,2010
USC00519397,1/11/10,0.01,64,1,2010
USC00519397,1/12/10,0,61,1,2010
USC00519397,1/14/10,0,66,1,2010
USC00519397,1/15/10,0,65,1,2010
USC00519397,1/16/10,0,68,1,2010
USC00519397,1/17/10,0,64,1,2010
USC00519397,1/18/10,0,72,1,2010
USC00519397,1/19/10,0,66,1,2010
USC00519397,1/20/10,0,66,1,2010
USC00519397,1/21/10,0,69,1,2010
USC00519397,1/22/10,0,67,1,2010
USC00519397,1/23/10,0,67,1,2010
USC00519397,1/24/10,0.01,71,1,2010
USC00519397,1/25/10,0,67,1,2010
USC00519397,1/26/10,0.04,76,1,2010
USC00519397,1/27/10,0.12,68,1,2010
USC00519397,1/28/10,0,72,1,2010
USC00519397,1/30/10,0,70,1,2010
USC00519397,1/31/10,0.03,67,1,2010
USC00519397,2/1/10,0.01,66,2,2010
USC00519397,2/3/10,0,67,2,2010
USC00519397,2/4/10,0.01,69,2,2010
USC00519397,2/5/10,0,67,2,2010
USC00519397,2/6/10,0,67,2,2010
USC00519397,2/7/10,0,64,2,2010
USC00519397,2/8/10,0,69,2,2010
USC00519397,2/9/10,0,73,2,2010
USC00519397,2/11/10,0,73,2,2010
USC00519397,2/12/10,0.02,69,2,2010
USC00519397,2/13/10,0.01,69,2,2010
USC00519397,2/14/10,0,69,2,2010
USC00519397,2/15/10,0,71,2,2010
USC00519397,2/16/10,0,61,2,2010
USC00519397,2/17/10,0,69,2,2010
USC00519397,2/19/10,0,63,2,2010
USC00519397,2/20/10,0.03,64,2,2010
USC00519397,2/21/10,0,65,2,2010
USC00519397,2/22/10,0,67,2,2010
USC00519397,2/23/10,0,68,2,2010
USC00519397,2/24/10,0,65,2,2010
USC00519397,2/25/10,0,76,2,2010
USC00519397,2/26/10,0,75,2,2010
USC00519397,2/28/10,0,66,2,2010
USC00519397,3/1/10,0.01,70,3,2010
USC00519397,3/2/10,0,72,3,2010
USC00519397,3/3/10,0,73,3,2010
USC00519397,3/4/10,0.12,70,3,2010
USC00519397,3/5/10,0.08,71,3,2010
USC00519397,3/6/10,0.03,72,3,2010
USC00519397,3/7/10,0,72,3,2010
USC00519397,3/8/10,0.43,69,3,2010
USC00519397,3/9/10,0.06,70,3,2010
USC00519397,3/11/10,0,73,3,2010
USC00519397,3/12/10,0,72,3,2010
USC00519397,3/13/10,0,73,3,2010
USC00519397,3/14/10,0,70,3,2010
USC00519397,3/15/10,0.06,71,3,2010
USC00519397,3/17/10,0,68,3,2010
USC00519397,3/18/10,0,70,3,2010
USC00519397,3/21/10,0,72,3,2010
USC00519397,3/22/10,0,69,3,2010
USC00519397,3/23/10,0,68,3,2010
USC00519397,3/24/10,0,74,3,2010
USC00519397,3/26/10,0,72,3,2010
USC00519397,3/27/10,0,72,3,2010
USC00519397,3/28/10,0,73,3,2010
USC00519397,3/29/10,0,74,3,2010
USC00519397,3/30/10,0,73,3,2010
USC00519397,3/31/10,0,73,3,2010
USC00519397,4/1/10,0,74,4,2010
USC00519397,4/2/10,0.01,74,4,2010
USC00519397,4/3/10,0.17,74,4,2010
USC00519397,4/4/10,0.15,71,4,2010
USC00519397,4/5/10,0.27,72,4,2010
USC00519397,4/6/10,0.01,75,4,2010
USC00519397,4/8/10,0,75,4,2010
USC00519397,4/9/10,0.01,75,4,2010
USC00519397,4/10/10,0,75,4,2010
USC00519397,4/11/10,0.01,73,4,2010
USC00519397,4/12/10,0.01,73,4,2010
USC00519397,4/13/10,0,71,4,2010
USC00519397,4/15/10,0,71,4,2010
USC00519397,4/16/10,0.01,68,4,2010
USC00519397,4/17/10,0,70,4,2010
USC00519397,4/18/10,0,71,4,2010
USC00519397,4/19/10,0,74,4,2010
USC00519397,4/20/10,0.04,71,4,2010
USC00519397,4/21/10,0.01,75,4,2010
USC00519397,4/22/10,0,76,4,2010
USC00519397,4/23/10,0.02,75,4,2010
USC00519397,4/24/10,0,75,4,2010
USC00519397,4/25/10,0,76,4,2010
USC00519397,4/26/10,0,76,4,2010
USC00519397,4/28/10,0,76,4,2010
USC00519397,4/30/10,0,77,4,2010
USC00519397,5/1/10,0,77,5,2010
USC00519397,5/2/10,0.03,73,5,2010
USC00519397,5/3/10,0.2,74,5,2010
USC00519397,5/4/10,0.08,76,5,2010
USC00519397,5/5/10,0.01,76,5,2010
USC00519397,5/6/10,0,80,5,2010
USC00519397,5/7/10,0.05,74,5,2010
USC00519397,5/8/10,0,77,5,2010
USC00519397,5/9/10,0,77,5,2010
